Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
33;16944;"ChemBioChem";journal;"14394227, 14397633";0,918;Q1;131;435;1204;27022;3904;1161;3,44;62,12;Germany;Western Europe;"Wiley-VCH Verlag";"2000-2021";"Organic Chemistry (Q1); Biochemistry (Q2); Molecular Biology (Q2); Molecular Medicine (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
34;4000150001;"Bioinorganic Chemistry and Applications";journal;"15653633, 1687479X";0,906;Q1;40;54;75;3036;601;74;4,13;56,22;United States;Northern America;"Hindawi Publishing Corporation";"2003-2021";"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
35;21101028205;"ACS Applied Polymer Materials";journal;"26376105";0,902;Q1;25;684;994;38552;4488;987;4,52;56,36;United States;Northern America;"American Chemical Society";"2019-2021";"Organic Chemistry (Q1); Polymers and Plastics (Q1); Process Chemistry and Technology (Q1)";"Chemical Engineering; Chemistry; Materials Science"
36;19700177127;"ACS Medicinal Chemistry Letters";journal;"19485875";0,872;Q1;73;275;911;8049;3570;869;3,83;29,27;United States;Northern America;"American Chemical Society";"2010-2021";"Drug Discovery (Q1); Organic Chemistry (Q1); Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
37;23053;"Journal of Natural Products";journal;"01633864, 15206025";0,866;Q1;147;383;1181;15641;5451;1171;4,62;40,84;United States;Northern America;"American Chemical Society";"1949, 1971, 1973, 1978-2021";"Analytical Chemistry (Q1); Complementary and Alternative Medicine (Q1); Drug Discovery (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Molecular Medicine (Q2); Pharmacology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
38;26388;"Organic and Biomolecular Chemistry";journal;"14770520, 14770539";0,832;Q1;155;1073;3222;66521;12069;3219;3,92;62,00;United Kingdom;Western Europe;"Royal Society of Chemistry";"2003-2021";"Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Biochemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
39;25854;"European Polymer Journal";journal;"00143057";0,823;Q1;149;528;1734;35964;8881;1726;5,32;68,11;United Kingdom;Western Europe;"Elsevier Ltd.";"1965-2021";"Materials Chemistry (Q1); Organic Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
40;130000;"Journal of Chromatography A";journal;"00219673, 18733778";0,813;Q1;237;751;2416;35540;10349;2396;4,17;47,32;Netherlands;Western Europe;"Elsevier";"1958-2021";"Analytical Chemistry (Q1); Organic Chemistry (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
41;14464;"Polymer Testing";journal;"01429418";0,810;Q1;107;433;1478;20211;7257;1468;4,89;46,68;United Kingdom;Western Europe;"Elsevier Ltd.";"1980-2021";"Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
42;23488;"Current Medicinal Chemistry";journal;"09298673, 1875533X";0,800;Q1;183;400;1146;53423;5112;1047;4,03;133,56;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"1994-2021";"Organic Chemistry (Q1); Biochemistry (Q2); Drug Discovery (Q2); Molecular Medicine (Q2); Pharmacology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
43;26508;"Synthesis";journal;"1437210X, 00397881";0,792;Q1;147;476;1247;31674;3692;1242;3,20;66,54;Germany;Western Europe;"Georg Thieme Verlag";"1970-2021";"Organic Chemistry (Q1); Catalysis (Q2)";"Chemical Engineering; Chemistry"
44;21444;"Polymer";journal;"00323861";0,774;Q1;268;961;2598;49438;11031;2591;4,19;51,44;Netherlands;Western Europe;"Elsevier BV";"1960-2021";"Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
45;21100304268;"Asian Journal of Organic Chemistry";journal;"21935807";0,768;Q1;48;376;889;28560;2852;878;3,12;75,96;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"2012-2021";"Organic Chemistry (Q1)";"Chemistry"
46;25853;"European Journal of Organic Chemistry";journal;"10990690, 1434193X";0,738;Q2;162;740;2580;51852;8006;2556;3,31;70,07;Germany;Western Europe;"Wiley-VCH Verlag";"1998-2021";"Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemistry"
47;4400151608;"ChemMedChem";journal;"18607187, 18607179";0,735;Q2;106;343;727;21461;2662;716;3,61;62,57;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2006-2021";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biochemistry (Q2); Drug Discovery (Q2); Molecular Medicine (Q2); Organic Chemistry (Q2); Pharmacology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
48;21100255503;"Journal of Flow Chemistry";journal;"20630212, 2062249X";0,735;Q2;27;81;108;3323;339;97;3,10;41,02;Hungary;Eastern Europe;"Akademiai Kiado";"2011-2021";"Chemistry (miscellaneous) (Q1); Fluid Flow and Transfer Processes (Q2); Organic Chemistry (Q2)";"Chemical Engineering; Chemistry"
49;25789;"Bioorganic Chemistry";journal;"00452068, 10902120";0,728;Q2;66;911;2169;46003;11320;2166;5,16;50,50;United States;Northern America;"Academic Press Inc.";"1971-2021";"Biochemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
50;25938;"Macromolecular Materials and Engineering";journal;"14387492, 14392054";0,722;Q2;104;309;614;16943;2516;610;4,23;54,83;Germany;Western Europe;"Wiley-VCH Verlag";"1989, 2000-2021";"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Organic Chemistry (Q2)";"Chemical Engineering; Chemistry; Materials Science"
51;21100977423;"RSC Medicinal Chemistry";journal;"26328682";0,712;Q2;62;158;496;11672;1996;491;4,31;73,87;United Kingdom;Western Europe;"Royal Society of Chemistry";"2020-2021";"Pharmaceutical Science (Q1); Biochemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Pharmacology (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
52;26370;"Molecules";journal;"14203049";0,705;Q2;171;7590;14308;483960;69732;14240;4,67;63,76;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"1992, 1996-2021";"Pharmaceutical Science (Q1); Analytical Chemistry (Q2); Chemistry (miscellaneous) (Q2); Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
53;25827;"Chinese Journal of Polymer Science (English Edition)";journal;"02567679, 14396203";0,696;Q2;40;162;462;8783;1694;462;3,80;54,22;Germany;Western Europe;"Springer Verlag";"1985-2021";"Chemical Engineering (miscellaneous) (Q1); Polymers and Plastics (Q1); Organic Chemistry (Q2)";"Chemical Engineering; Chemistry; Materials Science"
54;21100914882;"Gels";journal;"23102861";0,693;Q2;28;272;180;17112;815;170;3,96;62,91;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2021";"Polymers and Plastics (Q1); Bioengineering (Q2); Biomaterials (Q2); Organic Chemistry (Q2)";"Chemical Engineering; Chemistry; Materials Science"
55;16945;"Chemistry and Physics of Lipids";journal;"18732941, 00093084";0,677;Q2;103;84;315;6683;1117;311;3,50;79,56;Ireland;Western Europe;"Elsevier Ireland Ltd";"1966-2021";"Biochemistry (Q2); Organic Chemistry (Q2); Cell Biology (Q3); Molecular Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
56;16783;"Amino Acids";journal;"09394451, 14382199";0,676;Q2;127;174;410;9456;1589;404;3,46;54,34;Austria;Western Europe;"Springer-Verlag Wien";"1991-2021";"Biochemistry (Q2); Clinical Biochemistry (Q2); Organic Chemistry (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
57;21123;"Pharmaceutical Research";journal;"07248741, 1573904X";0,658;Q2;213;163;661;7894;2807;644;4,14;48,43;United States;Northern America;"Springer New York";"1984-2021";"Biotechnology (Q2); Organic Chemistry (Q2); Pharmaceutical Science (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
58;11200153519;"Express Polymer Letters";journal;"1788618X";0,657;Q2;77;95;288;3867;1045;253;3,61;40,71;Hungary;Eastern Europe;"BME-PT and GTE";"2007-2021";"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2)";"Chemical Engineering; Chemistry; Materials Science"
59;4400151742;"Beilstein Journal of Organic Chemistry";journal;"18605397";0,648;Q2;70;203;799;13576;2240;792;2,51;66,88;Germany;Western Europe;"Beilstein-Institut Zur Forderung der Chemischen Wissenschaften";"2005-2021";"Organic Chemistry (Q2)";"Chemistry"
60;21100894511;"Optical Materials: X";journal;"25901478";0,642;Q2;10;36;45;2022;190;45;4,22;56,17;Netherlands;Western Europe;"Elsevier BV";"2019-2021";"Inorganic Chemistry (Q1); Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
61;21100873487;"Peptide Science";journal;"24758817";0,628;Q2;11;51;124;3389;319;118;2,88;66,45;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2018-2021";"Biophysics (Q2); Organic Chemistry (Q2); Biochemistry (Q3); Biomaterials (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
62;16083;"Journal of Chemical Technology and Biotechnology";journal;"02682575, 10974660";0,625;Q2;124;387;1110;20763;3973;1093;3,66;53,65;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1979-1981, 1983-2021";"Inorganic Chemistry (Q1); Biotechnology (Q2); Chemical Engineering (miscellaneous) (Q2); Fuel Technology (Q2); Organic Chemistry (Q2); Pollution (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Energy; Environmental Science"
63;19900192900;"Molecular Informatics";journal;"18681751, 18681743";0,616;Q2;70;55;192;2645;769;182;3,82;48,09;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"2010-2021";"Computer Science Applications (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Molecular Medicine (Q3); Structural Biology (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Pharmacology, Toxicology and Pharmaceutics"
64;21100252806;"Bioactive Carbohydrates and Dietary Fibre";journal;"22126198";0,615;Q2;31;32;92;1863;338;91;3,62;58,22;United Kingdom;Western Europe;"Elsevier BV";"2013-2021";"Food Science (Q2); Organic Chemistry (Q2); Biochemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry"
65;21100924771;"Natural Products and Bioprospecting";journal;"21922209, 21922195";0,612;Q2;26;51;123;2804;531;123;4,94;54,98;Singapore;Asiatic Region;"Springer Singapore";"2011-2021";"Analytical Chemistry (Q2); Food Science (Q2); Organic Chemistry (Q2); Pharmacology (Q2); Plant Science (Q2); Toxicology (Q2); Biochemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
66;14858;"Biophysical Chemistry";journal;"03014622, 18734200";0,606;Q2;100;114;254;7859;779;245;3,31;68,94;Netherlands;Western Europe;"Elsevier";"1973-2021";"Biophysics (Q2); Organic Chemistry (Q2); Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
67;25786;"Bioorganic and Medicinal Chemistry";journal;"14643391, 09680896";0,598;Q2;171;439;1508;21209;5372;1498;3,40;48,31;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2021";"Drug Discovery (Q2); Organic Chemistry (Q2); Pharmaceutical Science (Q2); Biochemistry (Q3); Clinical Biochemistry (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
68;24074;"Helvetica Chimica Acta";journal;"0018019X, 15222675";0,595;Q2;85;87;196;4754;388;192;2,01;54,64;United States;Northern America;"Wiley-Blackwell";"1918-2021";"Drug Discovery (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Biochemistry (Q3); Catalysis (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
69;19700185200;"Journal of Natural Medicines";journal;"13403443, 18610293";0,588;Q2;50;111;300;3633;953;276;3,18;32,73;Germany;Western Europe;"Springer Verlag";"2006-2021";"Complementary and Alternative Medicine (Q1); Drug Discovery (Q2); Medicine (miscellaneous) (Q2); Organic Chemistry (Q2); Pharmaceutical Science (Q2)";"Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
70;26491;"Synlett";journal;"09365214, 14372096";0,587;Q2;136;334;1192;18075;2521;1183;2,28;54,12;Germany;Western Europe;"Georg Thieme Verlag";"1989-2021";"Organic Chemistry (Q2)";"Chemistry"
71;12318;"Optical Materials";journal;"09253467";0,583;Q2;109;1128;2453;49425;8343;2450;3,50;43,82;Netherlands;Western Europe;"Elsevier";"1992-2021";"Atomic and Molecular Physics, and Optics (Q2); Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Inorganic Chemistry (Q2); Organic Chemistry (Q2); Physical and Theoretical Chemistry (Q2); Spectroscopy (Q2)";"Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy"
72;21744;"Planta Medica";journal;"14390221, 00320943";0,572;Q2;122;166;431;10465;1495;412;3,07;63,04;Germany;Western Europe;"Georg Thieme Verlag";"1961, 1965-2021";"Complementary and Alternative Medicine (Q1); Analytical Chemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Pharmaceutical Science (Q2); Pharmacology (Q2); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
73;23050;"Journal of Microencapsulation";journal;"02652048, 14645246";0,570;Q2;81;45;170;2608;605;170;3,35;57,96;United Kingdom;Western Europe;"Informa Healthcare";"1984-2021";"Organic Chemistry (Q2); Pharmaceutical Science (Q2); Physical and Theoretical Chemistry (Q2); Bioengineering (Q3); Colloid and Surface Chemistry (Q3)";"Chemical Engineering; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
74;21190;"Drug Development and Industrial Pharmacy";journal;"03639045, 15205762";0,566;Q2;90;140;609;6839;2215;609;3,57;48,85;United States;Northern America;"Informa Healthcare";"1974, 1976-2021";"Organic Chemistry (Q2); Pharmaceutical Science (Q2); Pharmacology (Q2); Drug Discovery (Q3)";"Chemistry; Pharmacology, Toxicology and Pharmaceutics"
75;26489;"Starch/Staerke";journal;"00389056, 1521379X";0,557;Q2;87;182;414;8831;1200;405;2,67;48,52;Germany;Western Europe;"Wiley-VCH Verlag";"1949-1959, 1961-2021";"Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
